First Name,Last Name,email,Phone,Title,Company,Address Line 1,City,State/Province,Postal Code,Country,Industry,Owner,Rating,Status
Adrian,Benavides,Benavides@123Warehousing.com,(415) 835-1656,Director of IT,123 Warehousing,1775 11th,San Francisco,CA,94106,USA,Biotechnology,Anna Bressan,Hot,Open
Carla,Borgonovo,Borgonovo@ZiffCorp.com,(415) 835-1658,Director of Information Systems,ZiffCorp,82 T.W. Alexander Drive,Durham,NC,27718,USA,Biotechnology,Anna Bressan,Cold,Open
Ann,Bowles,Bowles@AcmeCorp.com,(415) 242-9230,Director of Information Systems,Acme Corp,80 T.W. Alexander Drive,RTP,NC,27709,USA,Manufacturing,Matt Wilson,Cold,Open
B,Bradley,Bradley@Mr.Sparkle.com,(415) 835-1659,Director of IT,Mr. Sparkle,79 T.W. Alexander Drive,Durham,NC,27715,USA,Biotechnology,Anna Bressan,Cold,Open
Al,Broumand,Broumand@SmithandCo.com,(415) 835-1658,Director of Information Systems,Smith and Co.,2530 Berryessa Rd. # 524,San Francisco,CA,94108,USA,Biotechnology,Anna Bressan,Cold,Open
David,Campbell,Campbell@Virtucon.com,(415) 835-1661,Director of Information Systems,Virtucon,2035 Gateway Place,Walnut Creek,CA,94601,USA,Biotechnology,Anna Bressan,Hot,Open
Dan,Casey,Casey@ThriftBank.com,(415) 835-1655,Director of Information Systems,Thrift Bank,1776 11th,San Francisco,CA,94104,USA,Recreation,Phil Smith,Hot,Open
Andy,Com,Com@Sampleinc.com,(415) 835-1665,CIO,"Sample, inc",602 Van Ness Ave.,San Francisco,CA,94117,USA,Finance,Phil Smith,Cold,Open
Brenda,Cowan,Cowan@StoPlainsHoldings.com,(925) 210-3943,Director of Information Systems,Sto Plains Holdings,4501 Durham Chapel Hill Boulevard,Chapel Hill,NC,27714,USA,Finance,Phil Smith,Hot,Open
Chris,Dailey,Dailey@ThathertonFuels.com,(415) 835-1661,CIO,Thatherton Fuels,1761 Marin Ave,Durham,NC,27721,USA,Manufacturing,Matt Wilson,Cold,Open
Christopher,Damman,Damman@MoobyCorp.com,(415) 242-9230,Director of IT,Mooby Corp,2034 Gateway Place,San Francisco,CA,94102,USA,Biotechnology,Anna Bressan,Cold,Open
Dan,Davis,Davis@FlowersByIrene.com,(415) 835-1656,"Manager, Hardware Procurement",Flowers By Irene,602 Van Ness Ave.,San Francisco,CA,94105,USA,Technology,Phil Smith,Hot,Open
Carol,Diesner,Diesner@BluthCompany.com,(415) 835-1659,"Manager, Hardware Procurement",Bluth Company,1762 Marin Ave,Raleigh,NC,27719,USA,Transportation,Phil Smith,Hot,Open
Dee,Elson,Elson@KumatsuMotors.com,(415) 835-1663,Director of IT,Kumatsu Motors,1777 11th,Walnut Creek,CA,94603,USA,Biotechnology,Anna Bressan,Cold,Open
